Sentence,Global start,Global end
Good morning.,3.6381803,4.31784
Welcome to the mission welcome to mission control Houston.,4.31784,7.3563204
"I'm NASA Shaniqua Marine, and we're bringing you live cover today of the two hundred and forty seventh spacewalk in support of international space station assembly, maintenance, and upgrades.",7.3563204,16.43198
"Today, NASA astronauts, Kayla Barron, Raja Chari, will conduct a spacewalk and International Space Station to assemble and install brackets and truss kits for upcoming solar array upgrades.",21.14788,32.012123
The new ISS rollout solar arrays or irosis will increase the space station's total available power.,33.049862,39.42692
"So far, two of six iroses have been deployed on the station with four additional arrays to be delivered.",40.34478,45.2026
You're looking live.,209.98166,211.2013
Into the quest airlock of the International Space Station where NASA astronaut Kayla Barron has suited up in the suit with the red stripe and Roshatari.,212.31995,220.45613
And the suit with no stripes.,221.43489,222.93439
Complete with the exercise grade work guys.,223.43388,225.77296
Or preparing for today's spacewalk.,225.83269,227.65202
"You just heard a call from Capcom, Woody Holberg.",233.8072,236.54608
Copy your go for step four.,241.61327,243.15274
"He just heard a call from Capcom, Woody Holberg, about the crew and pre breathing.",248.37865,254.23596
"This is where the crew will breathe a hundred percent oxygen, purging oxygen from their bodies.",255.33478,263.62997
"Portion now, the crew is doing suit light exercise in suit light exercise.",264.74942,269.52728
These movements help acclimate the body to lower pressure of the suit and help astronauts purge the excess excess nitrogen from their blood streams.,272.34482,280.0412
Slowly to avoid getting the bends or decompression thickness.,280.7298,283.70856
"At nominal pressure, the suit is pressurized at four point three pounds per square inch or psi.",283.9682,289.0259
"For a little context, the PSI here on Earth is about fourteen point seven.",289.63492,293.89304
"So that in four point three PSI, the suit is like what you would experience at an elevation of roughly thirty thousand feet.",294.3126,301.41858
"Houston, we are in step seven.",337.96753,340.6664
Alright.,345.05377,345.33362
In for step seven.,345.33362,346.25317
K.,346.25317,346.75317
"Like Houston, we copy.",348.25217,349.4116
We're gonna take a look at the HEKA data expected about ten minutes before step seven.,349.4116,354.51907
"Meanwhile, if not already complete, you have a go for steps eight through thirteen.",354.7787,359.31668
Working for the eight to thirteen.,362.2849,364.10425
"And as astronaut, Tom Marshburn, is the crew seat up suit up lead back by East astronaut Matthias Mauer.",374.6082,381.27405
"NASA astronaut, Kayla Barron, designated as EV one, or extra vehicular crew member one wearing the suit with the red stripes on the right of your screen.",398.39307,408.29712
And Russia Charlie is EV two wearing the suit with no stripes on the left.,408.47678,413.01358
At the beginning of today's spacewalk that you will be working on the starboard truss or s four at the three a mask canister on the three a power channel installing the modification kit.,430.82248,441.93704
They will then translate to the Starboard truss s six to tie back multilayer insulation on spare battery charge discharge units to support robotic replacement and relocation on our later spacewalk.,442.81488,455.36874
Station on one for the airlock.,640.62786,643.36674
What if you would like already to report the serial numbers for the Metox canisters just to set some time.,643.70632,649.33366
Houston copies.,656.0587800000001,656.89836
And we see in the video canisters thirty three and thirty four.,656.89836,660.49656
Those are good numbers.,660.49656,661.55628
Copy.,663.7647400000001,664.12456
Good numbers.,664.12456,664.82446
And we copy one zero three three for Kayla EV one.,668.72226,672.0208600000001
"If you're just joining us, you're looking live into the Quest airlock of the International Space Station where NASA astronaut Kayla Baron is suited up with the red stripe and Russia charlie in space suit with no straps preparing for today's spacewalk.",683.48368,696.49698
"Today's spacewalk will be the two hundred and forty seventh spacewalk in support of the International Space Station assembly, maintenance, and upgrades.",698.04459,704.2617300000001
This spacewalk will be the second of Barron's career and the first retiree on their first mission to the International Space Station.,707.82903,714.6458700000001
They both arrived as a part of crew three.,715.78479,718.0439140000001
NASA SpaceX crew three astronauts are in orbit following their launch to the International Space Station on the third commercial crew rotation mission aboard the Microgravity Laboratory.,731.70461,740.56043
"International crew of astronauts lifted off at nine zero three PM eastern time, Wednesday from lunch.",741.1698700000001,747.4669700000001
On from LaunchPad Complex thirty nine a at NASA Kennedy Space Center in Florida.,748.38477,753.0027
The doer seated suited up and going through procedures before they head out of the hatch later this morning.,853.98458,859.2022300000001
Also in the airlock assisting is Issa Ashanat Matthias Mauer and s astronaut Tom Marshburn serving as suit up lead.,859.42187,866.98818
Airlock Houston on two for heck of checkout.,870.5261800000001,872.9852000000001
"During today's spacewalk, Baron and Charlie will focus on the installation of a three a modification kit and tie back multilayer insulation on spare battery charge discharge unit to support robotic replacement or re relocation.",874.79403,889.2659000000001
And a later spacewalk.,890.0448,891.22445
Station one for the airlock.,894.4026,895.82217
"Like, Houston, we had a successful HEKA activation and checkout to your go to perform step seven, and then your further go to perform the METOX replacement as called by step fifteen.",898.4392,909.87295
Yeah.,912.4914,912.77126
"So we will start off with step seven, and then we could Can you receive my tips?",912.77126,916.65932
"And, like, Houston, no response required.",1185.4329,1187.152
We see one zero three four for Raja.,1187.152,1189.6997999999999
We saw one zero three three for Kayla.,1189.7397700000001,1191.65884
Those are good numbers.,1191.65884,1192.83846
"If you're just joining us, welcome to mission control Houston.",1400.09136,1402.95019
We're bringing you live coverage today of the two hundred and forty seven spacewalk in support of into of the International Space Station assembly maintenance and upgrades.,1403.82944,1411.0860699999998
We have an animation to show you what NASA astronauts Kayla Barron and Rasha Chari will be conducting and monitor will be installing today during a spacewalk.,1412.62467,1423.64914
US Space Walk.,1435.77151,1436.81098
Number seventy nine will begin at the Quest Airlock.,1436.81098,1439.0701099999999
"US astronaut, Kayla Barron, maybe one denoted by the red stripes, split egress first and received a very large Arun saum leakage bag, US astronaut Rajatari in the plain white suit will egress second with the crew lock bag.",1439.19978,1451.62234
"After quick buddy checks, EV one will head up to phase one and out to the s four integrated equipment assembly pausing momentarily to drop her fairlead green hook, just inboard of the solar alpha rotary joint and then continue her translation out to the s four three alpha integrated equipment assembly where she will stow the large Erosa mod kit strip bag and prep for the building of the upper triangle of the mod kit.",1451.6420799999999,1478.67657
"Meanwhile, EV two will follow EV one up to phase one Eighty two will stop at the Starbird's CETA cart where he will temp stow a crew lock bag of tools and retrieve a footwear straight and a work site interface extender known as a WIFAC and then translate outboard pausing momentarily to drop his fairly green hook just inboard of the Solar Alpha Row three joint.",1478.67657,1498.59469
"Continuing outboard, ADQ will cross over to the radiator side of the IEA and still the footwear straight and the worksite interface extender into the worksite interface number twenty six.",1498.73437,1510.64724
"E v two will then set up the footwear straight for optimum Erosa mod kit upper triangle installation, and then translate over to join EV one to begin assembling the or triangle.",1510.86691,1521.52972
EV one and EV two will work together to build the upper triangle.,1522.42904,1525.96752
"The crew will build the triangular segment loosely, and then we'll tighten up the structure by driving the bolts to torque.",1526.1072,1532.06304
EV two will then translate over to and ingress the footrest straight.,1532.6025399999999,1536.4006399999998
EV one will reposition for the hand off.,1536.4006399999998,1538.36959
Maybe one will hand up the upper triangle to EV two.,1538.36959,1541.3681
EV two will lay back and work to soft dock the segment onto the beta gimbal assembly and then drive four bowl.,1541.3681,1548.6246899999999
"EV one will temp stow her PGT with a short socket on a local handrail, while EV two will egress the up restraint and bias it to the left hand side.",1548.92428,1558.54874
EV one will go over to the back and retrieve the left mid stretch.,1558.92828,1563.46627
Work to pass this off to EV two or a body restraint tether stow.,1563.6948399999999,1568.87252
EV two will then re ingress the foot restraint while EV one retrieves the long eight foot lower stretch from the bag and hands it to v two.,1569.13214,1578.47451
"While e v two holds the long lower stretch, e v one will reposition to the Solar Array blanket box for Saab for the install of the left lower strut.",1578.47451,1588.10937
"As a team, the crew will move the strut into position, and EV one will begin at driving this bolt by hand four turns.",1588.2090699999999,1595.0658799999999
EV two will then work to align and drive his bolt on the mounting bracket side to turn.,1595.58484,1600.8424599999998
"And then EV one will work to re the torque on this bolts by driving with a pistol grip tool to a high torque, and then following with an even higher torque on the torque wrench once the bolt is deemed good, EV two will be given a go to drive his bolts to torque using the pistol grip tool and this complete arm minimum config EV one will reposition to the beta gimbal assembly, and EV two will hand off the telescoping mid strip for install.",1600.90218,1626.35711
EV one will work to soft dock the side pad onto the BTA.,1626.6567,1629.7639399999998
"While EV two bolts his the best bolt side in place, EV one will start her four bolt, two turns with the pistol grip tool, and then EV two will drive his club this bolt to torque on the mounting bracket.",1630.0635399999999,1641.53722
"EV one will then complete her four bolts with our pistol grip tool, and then EV two will drive his bolts to torque.",1641.9167699999998,1649.02236
EV two will then egress and reposition the foot restraint to bias it to the right hand side.,1649.02236,1656.72784
"The mod kit, the crew will then repeat the hand off sequence first in mid strat for body strengths to their stow, foot restraint in grip followed by handoff of the very long lower right strap.",1657.0274399999998,1668.69158
EB one will then reposition into the right hand side of the three alpha beta gimbal assembly.,1668.69158,1673.58846
"And an analogous install on strategy will unfold, maybe one position at the right stop bearing for lower strut install and drive the lower strut bolt to torque.",1674.00799,1684.64178
EV one will drive his clevis bolts to the mounting brackets.,1684.94137,1688.62948
"EV one will then reposition at the BGA, and they will hand off the right telescoping bench stretch following the same as cell strategy.",1689.0090599999999,1695.91476
Once the Complete TV One will translate onto the mid stretch and drive two color bulbs to torque to lock out the hologoping mechanism and rigidize the right hand side.,1696.49419,1704.90854
EV two will then egress the foot restraint and begin to clean up.,1704.90854,1708.68688
Once the multilayer installation or MLI is fully closed and wired by down.,1709.70611,1714.19414
EV one will reposition to repeat the collar bolt and MOI ops on the left hand side.,1714.3737999999998,1719.35154
EV two will then transfer plate around the integrated equipment assembly and stow the tools back in the bag.,1720.13094,1725.97784
You'll then pull it in the third ready for translation in later in the EVA.,1726.0776,1730.2445899999998
EV two will then translate back around the IEA to the foot restraint and work to stir the foot restraint and the worksite into basic extender on his body restraint tether.,1730.26431,1739.199
"EV one, the meanwhile, will translate over to the non radiator side of the IE it takes some still imagery of the completed mod kit.",1739.2187399999998,1747.25344
EV one will then translate out to s six to our battery charge discharge unit.,1747.51308,1752.23074
"She will begin installing some wire ties on a handrail and prep for restraining the MLI or multi layer insulation that covers the battery charge discharge unit Meanwhile, EV two will translate out to the starboard seated cart to stow the foot restraint and worksite's interface extender low profile on the starboard seating cart.",1752.23074,1771.34884
EV two will then retrieve the crew lock bag onto his body restraint tether and head back out to s six to join eighty one.,1771.34884,1778.92471
Both crew will work together to open the multilayer insulation covering the battery charge discharge units.,1779.06444,1785.92124
