Sentence,Global start,Global end
"Will allow the space walkers to, propel themselves back to the international space station in the unlikely event that they were to become untethered during this time.",0.08,10.775
"Over to the left, you see NASA astronaut, Andrew Morgan.",12.035,15.174999
He's he'll be EV two for today's space walk.,15.58,18.96
"The duo will be completing again the third in a series of repair a space walks, for upgrading the alpha magnet spectrometer with a new pump system.",21.18,32.215
"So far, the two space walks that have preceded this one have been really in preparation for, installing the new pump system that will carry the alpha magnetic spectrometer through the life of the station.",33.05,44.905003
Providing the necessary cooling by carbon dioxide that'll allow the experiment to run and collect billions of particles from the cosmos.,45.605003,55.41
"Again, you see, Christina Cook, NASA, to the left inspecting some of the SAFER unit's configuration.",68.55,74.57
"She is the lead for the suit up activities, has been leading the crew, through most of the morning through the pre breathing activities to get them set up.",75.455,83.98
Purge the nitrogen from their bodies as they'll be breathing one hundred percent oxygen to the duration of today's spacewalk.,84.060005,90.48
She's assisted by NASA astronaut Jessica Meer.,90.86,93.975006
"Jessica Meer aiding Cook through the suit up activities, but for the most part, Meer's activities through the duration of today's spacewalk, will be controlling the station's robotic arm.",94.435005,105.05
"Luke Parmatano, who you see the suit in the red stripe Again, he'll be EV one through the duration of today's spacewalk.",106.07,112.695
He'll be at the end of the station's robotic arm through most of the activities today to grant him the necessary access of installing that new pump system as well as swaging some of the tubes.,113.315,126.380005
"There are eight tubes that'll be needed to be swaged throughout the duration of today's space walk, to completely make the existing pump system, the cooling system with the new pump.",127.535,140.14
"Andrew Morgan, his primary duties will be assisting Parmetano through these activities carrying some of the tools specifically designed for these EVAs, for these spacewalks, and aiding parmitano as he will be having the necessary access at the end of the station's robotic arm to reach some of the tubes and, make the necessary connections with the new pump system.",144.745,168.605
"Again, the purpose of today's spacewalks is to repair the alpha magnetic spectrometer.",216.615,221.275
"This experiment was installed back in May of two thousand eleven on STS one thirty four Space Shuttle Endeavor delivered Alphamagnetic spectrometer to the station where it was installed robotically on the s three truss, you can see over there on the left of this graphic.",221.95001,237.325
"Much of the work so far has been removing, some of the debris shields and cutting some of the necessary, tubes that will be, ready to accept this configuration, the UTTPS, you'll hear that a lot during today's spacewalk.",239.06,252.61499
That is really just a new pump system.,252.87,254.73
A lot of work has been done to get this pump ready.,255.11,257.93
"All the, what's, all of the necessary components are on the inside of the box.",259.11,265.885
"The box just allows the thermal tracking and, the new pump system, to be installed neatly into the alpha magnetic spectrometer.",268.505,279.38
"A lot of work, from the ground to, configure some of the pipes and route them to the necessary locations.",281.555,287.575
"To do what, the AMS repair project manager Terryoakum describes as making it EVAable.",289.03,295.77
"You see a lot of the components on the outside are simplified as, Luca Parmitano and Andrew Morgan will be working in their space suits with bulky gloves.",296.245,305.065
"And a lot of work has been done to make this box, what it is making it, relatively easy for the space walkers to insert it into the proper, part of the alpha magnetic spectrometer.",305.69998,319.995
Now you can see some of the components that they'll be working with in this graphic right here.,323.15,327.25
"Some of the components on the forward facing part of this box, they'll be working with us up front.",328.08502,332.48502
"Those are some of the, power and data cables that have been routed on this previous spacewalks to the right, locations.",332.48502,339.99
"Once the box has been inserted into the alpha magnetic spectrometer, the spacewalkers will route those cables to the necessary connections and mate them to allow data and power, to be routed to the new pump system Michigan flight controllers on in Mission Control Houston will power up the box, checking it out, making sure everything is working, And then you can see those AAFs at the top.",341.49,367.08502
That's the AMS alternate fitting.,367.08502,369.18503
This AAF is a critical part of today's spacewalk.,369.725,372.445
"We'll take the majority of the time for the two spacewalkers, but really allow some of the tubes that are fitted on the new pump system to be easily fitted with the tubes that have already been cut on the previous spacewalk.",372.445,385.805
You can see the tube at the end is a little bit larger than the tubes that are routing the carbon dioxide through the current system.,387.54498,394.15
"That'll allow the space walkers, Luca Parmitano to be exact to insert, those tubes into the fitting.",395.70502,402.845
"After, straightening them out with some of the tools that have, again, been specially designed for this spacewalk.",403.97,410.79
Here's the tools that they'll be using throughout the duration of today's space walk.,417.275,420.94
"Again, it'll be Andrew Morgan that'll be holding on to the tool board you see over to the left.",420.94,425.6
"It's very critical that these tools are well organized and, accessible to, Luca Parmitano, will be the primary user of these tools.",425.66,434.565
"Of course, the pistol grip tool will be used as well.",435.10498,437.87
This is a common tool.,437.87,438.91
"It's the space drill that's used on many spacewalks, but these tools on the tool board have been specifically designed for the alpha magnetic spectrometer.",438.91,446.37
"You can see the large what looks like a bolt cutter off to the left, that's the rough cutter that has been used on the previous spacewalk to cut most of the tubes.",446.975,455.315
All eight of them have been rough cut.,457.47,459.39
"There and six of them are on the top facing side, the zenith side of the alpha magnetic spectrometer.",460.11002,465.33002
The remaining two on the nadir or the earth facing side of the alpha magnetic spectrometer.,465.675,471.455
"For most of today's spacewalk, they'll be using the tools you see over on the right.",472.61,476.94998
"The clean cutter is a two is a tool that's been, specifically designed almost like a PVC pipe cutter, but, a little bit easier to handle as it's, specifically designed to be used with bulky gloves.",477.40997,490.915
In the harsh environment of space.,491.41998,494.08
