Sentence,Global start,Global end
"Good morning from the International Space Station flight control room at the Johnson Space Center in Houston, Texas.",10.865,17.525
I'm NASA's Sandra Jones.,18.02,19.720001
"This morning, we're bringing you live coverage of a spacewalk to install brackets in preparation for solar array upgrades the space station.",19.94,28.585
Today's spacewalk will be the first ever involving two international partner crew members out of the Quest airlock.,31.125,37.305
You're currently looking live into the Quest Airlock of the International Space Station.,37.989998,42.649998
Copy complete.,45.755,46.655
"We are gonna work step seventy four, five, and seventy six, and we'll give you a callback when we're ready for seventy seven.",46.715,53.295
"I'll be standing by, waiting for seventy seven.",55.829998,58.25
"In the quest airlock at this time is NASA astronaut, Megan McCarthy and Mark Vanda High posing for a photo as you see here.",61.19,68.78
"They just closed the hatch to the crew lock where Japan aerospace exploration agency astronaut and current commander of the space station, Aki Yoshide, is suited up, and in his space suit, he'll be in the space suit with the red stripes today.",69.26,83.454994
"Also, in that airlock with him is Issaah or European Space Agency astronaut Toma Pesquet, he'll be wearing this space suit with no stripes this morning.",83.835,93.12
"This will be Akihoshide's fourth spacewalk of his career, and this will be Pescae's sixth spacewalk of his career.",96.505,103.725
The duo arrived to the space station together on the SpaceX crew dragon endeavor in April.,104.17,109.71
"During today's spacewalk, Khashide and Pescue will complete tasks to build and install a mounting bracket on the four a power channel in operation for the next delivery of ISS roll out solar arrays or Iroses.",113.854996,127.29
"Additionally, they will remove and replace the floating potential measurement unit or FPMU ensuring the device can provide measurements for years to come.",128.31,136.975
"Airlock Houston on one, EV Crew.",161.09,163.49
You are hot mic on space to ground one.,163.49,165.655
Give me one copy.,168.375,169.415
I'll try.,169.415,170.155
Any two copies?,170.535,171.595
"Earlier this morning, the crew You guys are go for step seventy seven.",177.39,181.09
Copy.,184.375,184.615
Thanks.,184.615,185.115
"Earlier this morning, the crew did work through procedures to pre pre breathe oxygen to purge nitrogen from their bodies.",187.895,195.20999
So does depress pump enable engine design?,198.085,200.66501
Press pump enable engine is on.,201.045,203.225
And Houston airlock on the wall with standing by for your go and stuff needed.,206.66,210.51999
"Additionally, Meghan McCarthy and Mark Vanda Hye helped to install the safers onto the space walking duo.",222.81,230.03
The safers are essentially the space jet pack jet pack that can help aid a crew member should they become untethered.,230.295,237.75499
Though this is an extremely unlikely event.,238.11,240.53
Jack's at astronaut Aki Hoshide and European Space Agency astronaut Toma Pescae are working through procedures with the ground to begin depressurization here shortly.,272.69,284.025
"Airlock Houston on one, you are go for depress.",302.27002,305.41
Think we are go for depress.,309.565,311.42502
"So tomorrow, we're on the crew lock depress card.",315.24503,317.64502
You can switch depress pump power to on.,317.64502,320.9
"Copy, Cole.",321.91998,322.72
"You may handle the crew lock, depress your car to taking the depressed pump power through on Okay.",322.72,329.565
It'll take ten seconds for complete startup.,329.565,331.985
Okay.,332.925,333.425
"And you're gonna take the depress pump, man ISO valve to open.",337.16,340.44
You can expect an alert tone.,340.44,342.14
"Press pump, manual isolation valve, and you can open.",343.24002,345.82
"A monitor, your CP gauge stays less than five point five.",346.655,350.275
Copy.,350.975,351.475
Copy.,351.775,352.275
And you just heard the go from teams here in Houston for depressurization to begin.,372.96002,378.1
Depressurization will take the crew lock from its current fourteen point seven pounds per square inch of pressure all the way down to vacuum.,378.32,385.785
"Before that happens though, the teams will paw at about five pounds per square inch to complete final suit checks and comm checks, and then the crew will be given the go to place their suits on internal battery power which will mark the official start of today's spacewalk.",386.32498,400.385
The crew is currently running about one hour ahead of the timeline this morning.,401.005,405.265
Interesting sound.,428.46,429.76
I like to move.,429.82,430.88
"Well, Pressureure inside the crew lock now at about eleven point five pounds per square inch down from the four point six pounds per square inch that we started at this morning.",432.845,460.82
"Actually, four point nine.",468.335,469.635
Say it again.,472.655,473.215
So what?,473.215,473.875
Following my supine at four point nine on a supine gauge?,477.25,481.19
Copy.,481.49,481.89
CP gauge.,481.89,482.71
CP gauge at four point niner.,482.85,484.63
Correct.,484.93,485.43
"And EV one, the four point nine zero two.",485.705,488.205
I copy four point nine zero for EV one.,489.305,491.485
Think that's it.,506.445,507.165
Is that the end of my released out.,507.165,509.84
Okay.,509.84,510.34
"And Aki couldn't quite hear what you said, something about your relief valve?",518.095,521.315
Yeah.,521.535,521.775
I see.,521.775,522.335
No.,522.335,522.575
"We're hearing the move from, but I think it's just the relay valve open enough to take a pressure on their side.",522.575,530.05
I copy that.,530.51,531.49
Now under ten pounds of pressure per square inch in the crew lock.,539.955,544.25995
"Once five pounds per square inch is reached, depressurization will be paused so that a systems check can take place.",544.39996,550.295
"Once that's complete, depressurization will resume in order to get the airlock down to vacuum before our spacewalking duo can head out the hatch.",550.855,559.51495
Just under five minutes until the crew is at five until the crew lock is at five pounds per square inch of pressure.,652.89,659.275
You're doing some off?,669.86,671.16
Good.,672.340004,672.840004
I'll rebuild up p eight.,673.22,674.840004
Yeah.,675.705,676.205
Yeah.,676.265,676.585
I see it too.,676.585,677.565
"In tomorrow, you can expect an alert tone when the crew lock is at six point zero.",701.71999,706.14
Copy.,706.36,706.86
Copy.,707.0,707.5
"And tomorrow, I'll give you another reminder, but when the crew lock is at five point zero, you're gonna take the depress pump man ISO valve to close.",709.354996,716.255
Copy.,716.9,717.38
Five point zero.,717.38,718.6
But but my old isolation valve will go too close.,718.9,721.96
"NASA astronauts, Megan McCarthy, on the right, and Mark Vandahai on the left of your screen, continuing to monitor depressurization of the Quest airlock, where Hoshide and Peskei are suited up and undergoing preparations to eventually venture outside a space station hatch for today's space walk.",737.71,754.6500100000001
Depressurization is currently underway.,759.595,761.93501
"We're sitting at about six point eight four pounds per square inch of pressure, waiting until we get to five pounds per square inch per square inch of pressure, where leak and comm checks will take place.",761.99501,775.26
"Following this, the press will resume and continue all the way down to vacuum.",782.865,787.8199999999999
"Once vacuum is reached, the two space walkers will complete some additional before placing their space suit on internal battery power, officially marking the start of today's spacewalk.",788.36,799.2750100000001
A US spacewalk starting in is measured from the time the crew places their spacesuit on internal battery power all the way up until the time repressurization occurs.,807.58,818.0550000000001
And the crew is back inside the crew lock following completion of their space walking tasks for for the day.,818.45001,824.87001
Let's go up.,835.85,836.6500100000001
P s six.,836.6500100000001,837.55
"Hey, copy.",838.09001,838.67001
Got an alert tone.,839.93001,841.05
"And at five, Tomah, you're gonna take the depress pump, man, I fill out the clothes.",841.05,845.1949999999999
Correct.,845.9150099999999,846.15501
"And should I go by my, DCM or HAC keys?",846.15501,848.63501
"I think I can use a bit more, three times minus point two off, I think.",848.63501,854.175
Yes.,854.75,855.06999
That's correct.,855.06999,855.63
"Yours is off, and we can also, read it to you from here.",855.63,858.61
K.,858.8299999999999,859.15
I have LSV five decimal nine zero right now.,859.15,862.45
Okay.,862.51,863.01
"Mark, can you go and read it to me?",864.2149999999999,865.815
That's it.,865.815,866.5550000000001
"And then again, you double check up.",867.895,869.835
Sounds good.,869.975,872.0550000000001
Thank you.,872.0550000000001,872.79498
Alright.,896.5550000000001,897.0550000000001
For my LRC is at I'm decimal five.,900.315,902.975
Copy.,903.3549800000001,903.675
I got something for three expected.,903.675,905.5350000000001
K.,906.155,906.51
Coming up on five pounds per square inch of pressure now.,911.31,914.53
"As a reminder, The teams will pause at five pounds four systems check.",914.6700000000001,919.38498
LFC five decimal three.,936.2150300000001,938.155
Copy.,938.45502,938.95502
That's probably from zero expected.,940.81998,942.6800000000001
I said small one.,951.32498,952.54498
Hey.,964.21,964.45
Can take the depress pump then I filled out to close.,964.45,966.865
Expect an alert tone.,966.865,968.145
I'm sure.,968.145,968.88498
I got how this will go.,969.1049800000001,970.625
Okay.,970.625,971.025
If that's what my authorization value is closed.,971.025,973.6049800000001
Okay.,974.9200000000001,975.24
