Sentence,Global start,Global end
"K Center in Houston, Texas.",0.0,1.38
"On a big board there on the front and on your screen shortly, you're gonna be looking live inside the Quest airlock where a group of astronauts are getting ready to kick off the first in a series of five spacewalks over the next month.",1.68,13.665
"Spacewalktober is one flight directors has so eloquently put it, in ten space walks over the next coming months.",14.205,20.55
I'm Dan Hewitt.,20.61,21.25
I'm gonna be taking you through all of the activities today.,21.25,24.15
"We get ready to send two astronauts, Christina Cook and Andrew Morgan out the door in just about an hour or so for six and a half hour EVA extracurricular activity or spacewalk.",24.225,35.579998
"Inside the room, the team's gonna be led by Flight Direct TJ Kramer, he's down at the bottom of your screen there.",37.0,43.055
They're just doing what's called a handover.,43.055,44.835003
So the team that's been on all morning is gonna be jumping in and helping out the team coming on for the orbit two shift.,44.895,52.05
"TJ's gonna be leading the team, just above him.",52.19,54.829998
"You can see in the green shirt, Alex Canaleccos, He was the off going capcom, seated next to him, Mark Van High, and we should be seen in just a little while, Stephanie Wilson, who's gonna be serving as what's known as the ground IV that voice talking directly to the astronauts during the spacewalk today.",54.829998,70.48
"All the action, though, right now, is inside of that Quest airlock where the two astronauts, Christine Christina Cook and Drew Morgan in some of the final steps before they get ready to head out the door, Christina Cook is in the suit that's floating in the center of your screen.",71.26,87.17
She's gonna be EV one or the lead space walker for today.,87.17,90.630005
You'll be able to tell which one she is once they're out there by those red stripes around the thigh portion of the space suit.,90.665,97.085
"And then on the left, still attached to the wall is Drew Morgan.",97.305,100.41
"Both of these crew members already have one spacewalk on their resume, Christina doing her first one back on March twenty ninth, where she and recently returned astronaut Nick Hague swapped out a pair of batteries, for an earlier version of what we're gonna see today.",100.41,116.975
"And then Drew Morgan getting his first one also with Nick Hague, but later on in the summer on August twenty first.",117.420006,123.200005
So this will be the second space walk for both of these crew members And what they're gonna be doing today is a little bit different from the battery space walks we've seen in the past.,123.740005,132.065
"If you've been following all along over the last few years, We've been gradually swapping out older nickel hydrogen batteries.",132.205,138.9
"These are great big, four hundred pound batteries on the outside of the International Space Station.",138.9,143.56
That are used to provide power to systems while the stations in darkness.,143.695,147.955
"We obviously have those great big solar arrays that are generating all of the electricity on board the station, and that electricity gets either directly routed to systems or stored in batteries for when there is no sunlight and you don't have anything direct to draw on.",148.015,162.145
These nickel hydrogen batteries are being replaced with newer lithium ion batteries have a much higher capacity.,162.545,168.485
"And in fact, one lithium ion battery is going to take spot of every two nickel hydrogen batteries.",168.945,174.64
They were recently delivered.,174.94,176.48001
"The latest set of six was delivered on the Japanese each TV eight vehicle, just a little while ago.",176.78,183.875
"And then it they get brought up on something called an exposed pallet, which we'll see connected to the robotic arm a little bit later.",184.175,190.675
And the astronauts are kicking off a series of replacing these batteries by removing those old nickel hydrogen ones and popping the new lithium ion ones in.,190.69,199.75
"Right now in our procedures, they're doing what's known as SAFER donning.",200.24501,203.925
So you can see at the bottom of the backpack that Christine is wearing is a SAFER unit that stands for the simplified aid for EVA Rescue.,203.925,211.73999
"It's actually a mini jet pack that if the crew members were to become untethered from station for any reason, they could use it to fly back and get to station.",212.12,220.775
So they're doing Christina's suit right now.,220.83499,222.83499
"Drew Morgan's suit will be next, and then pretty soon they'll be moving into what's known as the crew lock portion of the airlock that's straight away from Christina's head.",222.83499,230.88
"That's where they'll go in, and they'll actually shut the door, and then they'll be able to depressurize the airlock or take all of that air out of there and then open up the hatch and begin the spacewalk.",230.94,241.50499
Spacewalks officially begin on the US side when they switch their suits over to battery power.,242.20499,248.08
You'll see each of them has what's known as an umbilical.,248.14,250.88
It's a white hose that's connected to their suits.,250.94,253.535
That's providing electricity and the breathing gases and everything from station systems.,253.535,257.795
"Once they unhook those and switch over to battery power, the spacewalk will officially begin.",258.095,262.515
Today's spacewalk is expected to last about six and a half hours.,263.83,267.93
"Their primary task today will be to remove one of the old batteries and store it on that exposed pallet, take one of the new batteries off of that Bose palette and put it in the slot where they remove the old battery from, remove a second old battery, bring it over, and then swap it out with something called an adapter plate.",268.15,288.315
Here is kind of their task list for the day.,288.635,290.795
"So they're gonna egress or leave the airlock first, and then work site preparation will be them moving all the way out They're gonna be working on an area called the p six truss.",290.795,300.78998
It's the port sides of the left side of the station and six all the way out on the end.,300.78998,305.93
And the they're gonna be at something called the IEA.,306.48502,310.505
It's an integrated equipment assembly.,310.64502,312.665
That's where all these batteries are stored.,312.725,314.905
"And these provide, power to one of the power channels onboard the station, specifically the two b.",315.28998,322.03
And this is kind of a a breakdown of what we're gonna be seeing today.,322.445,325.825
You can see that exposed pallet in the center of the screen attached to the SSMS.,326.045,330.625
That's space station robotic manipulator system.,330.925,333.28
"That's the big robotic arm, and that's gonna have all of those batteries held for them.",333.28,337.52
"Again, they're gonna be moving all the way out.",337.52,339.76
"The reason that these space wire are gonna be different is the robotic arm in the past has done a lot of the heavy lifting actually swapping out the batteries, but they're now on an area of the station so far out, the robotic arm can't actually reach.",339.76,352.87
So the astronauts are gonna be doing it all by hand.,352.87,355.77
It'll take a little bit longer.,356.06497,357.34497
"That's why in the past, these battery swaps have only taken about two space walks, mostly for the crew members to go out and do a lot of electrical connections while the battery and the Dexter attachment and a lot of the work to actually swap out the batteries.",357.34497,370.5
"This time, though, it's gonna take five to do the same amount of work.",370.615,373.91498
"So, again, it's a bit of a shell game.",374.455,376.055
They're gonna be removing batteries.,376.055,377.91498
You'll see batteries referred to by numbers and also battery re referred to by letters in today's action.,378.215,385.1
"The batteries with the numbers attached are the older batteries So battery one is one of those old nickel nickel hydrogen batteries that's gonna get removed and placed in an empty slot on the exposed pallet We're gonna get one of the new lithium ion batteries battery a and put it in the slot where that first, old battery was removed, and then almost simultaneously famously, they're going to pull battery number two out and move it over to that now empty spot on the exposed pallet and then get the adapter plate underneath it and install it, and the adapter plate serves two functions, first to complete the circuit between the new battery and the attached battery discharge can control unit, and it also serves as a storage point for the older nickel hydrogen battery.",386.04,431.26498
"So they can actually store it there on that without having it linked into the system, as there's only nine slots on this exposed pallet to return old batteries to burn up in the atmosphere.",431.26498,442.62003
So some will actually stay on board.,443.19498,445.85498
That's just a quick run through.,447.675,448.955
"Now you can see they're working on Drew Morgan's suit getting that safer attached Once that's done, they'll be ready to move him into the crew lock, and then we'll be one step closer to starting today's spacewalk.",448.955,459.52
"At the start of the first EVA, EV one comes out of the airlock, retrieves the bag and puts it on the BRT, my body restraint tether.",483.37,490.75
Filed by EV two.,491.04498,492.185
"EV one translates up to the truss, out to the port side, onto p one, to drop off the anchor points for the safety tethers.",492.405,504.53
EV two takes a bag and puts it on the articulating portable foot string.,505.22998,510.265
EV one continues translating for their outboard onto the crew and equipment translation aid.,511.68503,518.985
"Followed by EV two, who translates up onto the truss and continues further out onto the p six truss.",520.68,528.14
If you two will drop off the foot restraint.,532.425,534.925
"An EV one will attach a bag to a foot restraint, and continue translating upward.",536.63995,543.54
EV one will drop off a foot restraint.,549.305,552.765
Remove the bag and relocate it to the exposed pallet.,555.77,560.83
"If you two, we'll remove a bag and stow it at the integrated equipment assembly.",566.01495,570.755
"Both crew members will install what are called gap scanners, which allow them to translate on the integrated equipment assembly.",571.58997,578.33
If you too will relocate a pistol grip tool for future use.,579.595,583.055
"The crew members install what we call scoops, which are handling aids, for the batteries.",583.83496,588.31
"If you two ingresses the foot restraint, And the two crew members remove the first of the nickel hydrogen batteries, the old batteries.",589.25,598.90497
"The two crew members, shepherd the battery between the two of them, from the IEA over to the exposed pallet.",601.4399999,608.98
"EV one ingresses, the foot restraint, and the two crew members stow the old battery onto the exposed pallet.",610.715,618.494999
"EV one removes the scoops, and the station arm operator relocates the exposed pallet to position the new lithium ion battery in front of EV one.",623.66,636.1
