Sentence,Global start,Global end
"Good morning, and welcome.",4.1992188,5.6171875
This is mission control Houston.,5.6367188,7.1757812
"You're getting a live look now at the Quest AirLocks equipment lock inside the International Space Station, where preparations are underway to begin a six and a half hour single task space lock.",7.5351562,17.421875
"Our space walkers today are NASA astronauts, Tom Marshburn and Kayla Barron.",17.875,21.65625
They're just now on the other side of the hatch and what's known as the crew lock.,22.71875,26.25
"When they come into view, Tom Marshburn will be wearing the suit with the red stripes and Kayla Barron will be wearing a white striped or unmarked space suit.",26.703125,35.40625
They are not visible on screen now.,35.65625,37.75
The two launched the space station as part of the crew three mission earlier this month.,38.65625,42.46875
"Right now on your screen, you can see Mark Mandegh and Raja Chari Chari, they'll be flying in and out of view as they hope.",43.3125,49.95
Marshburn and Barron along to get their EVA underway.,50.5625,53.75
Mark Van de High on your screen now in the pants.,64.4375,67.25
While Rajatari is wearing the green shorts.,67.5625,69.9375
Barron and Marshburn have completed the suit up process in preparation to exit the space station's quest airlock.,71.6875,76.875
"We copy, Rosa.",81.1875,82.1875
The task they'll be completing today is to replace a faulty communications antenna system.,89.3125,93.5
The system we're gonna be talking about today is called the S band antenna sub assembly or SASSA.,93.9375,99.4375
Airlock Houston on one.,101.375,102.6875
"In one minute, you'll be hot mics on space to ground one.",102.6875,105.5
"NASA went down sometime in mid September, but fortunately, as there's already onboard the area of the space station, and the station has a number of other methods of unit communication.",111.625,120.3125
And you are complete with step seventy six.,120.5,124.25
Welcome.,127.625,128.125
"Raja Thari, just talking about how we're about six minutes away from depressurization.",145.875,149.125
"Again, astronauts Kayla Barron and Tom Marshburn are kind of on the other side of the door there in the crew lock getting ready for depressurization.",149.875,156.25
"Two seventy one while we're waiting on, but you guys can get to three seventy six.",166.25,170.00002
Copy.,175.125,175.5
We're good.,175.5,176.125
Our space walkers today are running ahead of schedule.,178.625,181.0
We expect to get out the door a little early.,181.375,183.5
Alright.,198.375,198.75
So how do Barron and Marshburn go about replace using the SASSA.,198.75,201.875
What will they be doing today?,201.875,203.375
"First, they'll get the to the robotic arm and get it set up and configured and set up the worksite at the Press Logistics Carrier three where the Spares Afa lives.",203.625,212.0
They'll then remove the failed Sasa on the station's port one truss and stow it temporarily.,212.625,217.125
They'll retrieve the spare and install it.,219.0,221.25
They'll then stow the failed SASSA where spare once was on the express logistics carrier.,224.125,229.0
Serial number zero zero two zero and zero zero two two.,229.0,232.25
Copy.,234.625,234.875
"Good numbers, Rosa.",234.875,236.0
And crew is hot mic.,241.5,242.75
"Finally, they'll conclude their EVA by cleaning up their work site.",248.25,251.55002
"And since the space walkers are getting an early start this morning, they may have time to do some get ahead tasks.",251.625,256.75
I'll find out there.,256.75,258.0
"Thanks, Jessica.",261.25,262.0
Take care.,263.0,263.625
Go ahead.,263.625,264.5
Take care.,265.0,265.75
"He just heard the voice of NASA astronaut, Jessica Mere, wishing the team a good luck this morning.",266.75,270.86002
Airlock for Raja.,314.25,315.25
You have a go for step seventy seven seventy through seventy nine.,315.25,319.0
Before seven seven two seven five.,323.5,325.5
Good words.,328.0,328.75
"Alright, Taylor.",340.25,340.75
You can check with the keypad power switches off.,340.75,344.4951
They're not waiting for your bill on step eighty.,355.75,358.0
The flight director is now pulling whether they wanna go for depressurization.,379.25,382.5
We're in a brief but expected handover period between satellites.,434.5,437.75
"Flight direct Vince on the court is in mission control today, and he's in the process of pulling his flight directors to see if we are go for depressurization.",438.75,446.0
Yeah.,455.5,456.0
I'll just read my head back and made it bad.,456.0,458.25
And the airlock on one.,463.5,464.75
Just waiting on your go for seven eighty.,464.75,467.25
