Sentence,Global start,Global end
You're watching s the TV.,41.7165,43.6049
"Good morning, and welcome to Mission Patrol Houston.",65.25288,67.7119
"I'm NASA Snickerberry, and we're bringing you live cover today of the two hundred and fifty fourth spacewalk and support the International Space Station assembly maintenance and upgrades.",67.891556,77.16688
You're currently looking live as NASA astronauts.,78.4748,81.9733
For a dude for Comcheck.,82.83262,84.13222
Go ahead.,93.114716,93.774635
"Hey, dude.",94.514015,94.91381
We think we've recovered our Ku forward link.,94.91381,96.95279
If you wouldn't mind giving us a comm check on space to ground three and four.,96.95279,100.53125
Station Com check on space to ground three.,108.84486,111.383835
Loud and clear on three.,112.3631,113.82262
Copy the same.,115.88133,116.600975
Switching to four.,116.600975,117.62071
Houston station comm check on space to ground four.,122.3481,125.047
I have you loud and clear on four.,125.826355,127.3456
How many?,127.3456,127.96554
Okay.,129.70433,129.86426
Thanks.,129.86426,130.36426
"You're looking live inside the Quest Airlock where Ashnut, the coal man is helping to suit up.",151.39229,157.3085
That's Ashnut's Josh Cassidy and Frank Rubio who will be conducting today's spacewalk.,157.36823,162.1061
That you are looking to head outside of the hatch later today to assemble and install brackets and stripes for a modification kit for upcoming solar array upgrades.,163.86479,173.28033
The new ISS rollout solar arrays or iroses will increase the space station's total available power.,173.8498,180.1469
That's astronaut Josh Cassidy suited up in the suit with the red stripes.,202.92355,207.09
"Will be EV one or extra vehicle crew, member one today.",207.20993,210.86836
He's on the left of your screen a little out of focus.,211.6877,214.94632
"And then you'll see Frank Rubio in the unmarked suit today, they as they print currently for their spacewalk.",215.41484,222.55151
"The crew is currently running about thirty minutes behind schedule, which could mean a later start time than the scheduled seven zero five AM central time.",223.64998,233.02554
To exit the hatch today.,233.22496,235.28418
Station Houston on one.,255.32172,256.88095
Stop exercise.,256.88095,257.78073
The duo are suited up and going through procedures before they head out of the hatch later this morning.,277.11826,281.47504
"They're currently in a process called pre breathing, and Currently, the crew is going through some exercises, which consist of two parts to purge light shouldn't from their bodies.",283.79388,298.26437
The first step is when the crew is breathing one hundred percent oxygen while in their suits.,299.3236,305.64005
"And then the second part of the pre breed portion is crew members being in their suits, and they are currently completing suit like exercise.",306.55957,314.37592
Start exercise.,316.47458,317.3344
You'll hear Capcom Megan Levens talking to the crew telling them when to complete exercise and when to stop exercising.,324.5092,332.3049
"Again, this is part of the pre breathe process, which the crew started about fifteen minutes ago.",332.88434,338.6617
"And again, this is the activity before spacewalks where the crew purchased nitrogen from their bodies.",339.5498,344.40762
We're currently in a brief handover between satellites.,401.66345,403.94232
You're getting a live view right now.,403.94232,405.48007
Inside the International Space Station Flight Control Room.,405.63998,408.7787
"The orbit one team currently being led by Vincent La Court, flight director, will be handing over to Anthony Varia this morning, and Capcom Meghan Levins will be handing over to the ground IV.",414.29425,428.346
"Who's gonna be Pending over to ground IV, Zena Cardman this morning.",428.97504,441.95798
You currently see this shift handover right now on your screen.,442.41748,445.5162
Station Houston one for airlock.,554.6124,556.3918
Stop exercise.,556.5715,557.3913
Station Houston on one.,614.7898,616.609138
Start exercise.,616.62888,617.488699
Jason Houston on one for Duke.,630.489338,632.388638
"With KU recovered, your go to execute step six.",632.52832,635.627018
Copy.,642.74172,643.061558
Thumbs up and correction.,643.061558,644.16126
Copy.,644.181,644.681
Step six.,644.940617,645.720478
"And correction on my part, that steps six through eight.",646.869556,649.80834
Be a step six through eight.,653.554737,655.433796
Copy.,655.433796,655.933796
"If you're just showing us, you're looking live inside the quest to airlock where two astronauts are being suited up to head outside the hatch later this morning.",684.70734,692.93278
"We're bringing you live coverage today at the two hundred and fifty fourth SpaceWALK in the support of the International Space Station, assembly maintenance and upgrades.",693.552216,700.78795
"NASA astronauts, Josh Kesh, and Frank Rubio will conduct the spacewalk to install and assemble and install brackets and shreds of a modification kit for upcoming solar rate upgrades.",701.52733,714.088326
The new ISS rollout solar arrays or iroses will increase the space station's total available power.,714.74775,721.43381
The crew currently is in a stage called pre breathe.,723.65245,727.76921
They are in the second portion of pre breathe where they are doing in suit light exercise.,728.46861,733.44637
You'll hear the Capcom Meghan eleven's column to the crew to start and stop the exercise.,734.47473,744.3085599999999
"Again, this is to purge nitrogen from their bodies.",745.00797,748.18663
"As the crew continues to do preparations, you see Nicole Man, NASA astronaut, Nicole Mann, suit up a lead in her backer, Jack's astronaut, Koichi Wakada, helping to set the duo up for their spacewalk this morning.",765.20763,784.1873
That's due continues their preparations of pre breathe.,847.16962,850.82805
We can go into an animation to explain a little further what the crew will be doing today.,851.68736,856.6843
"US spacewalk eighty one will be conducted by EV one, Josh Cassada, and EV two, Frank Rubio.",870.2871700000001,878.9618800000001
EV one exits the airlock and gets handed one of the bags in preparation for the EVA.,880.64993,887.2269
"And the second bag, the strut bag gets handed out and put on EV one's body restraint tip.",888.33484,894.35208
"EV two egresses the airlock, and that allows EV one to start translation up the c to spur over to phase one of the ISS truss.",895.73114,906.3544999999999
Trash translates along and stops at a handrail.,909.6526,912.47144
Hook up EV two's safety tether and his safety tether and continues his translation path.,912.96985,919.58676
"As he makes his way down the truss, he translates along and gets out to the end of the s six truss and tethers the strut back.",921.8748499999999,931.03
"Meanwhile, Frank Rubio closes the thermal hatch then makes his way up to c to spur, to face one to follow the same translation path that Josh just translated on.",935.14795,945.3600200000001
He makes his way out to the s four truss and stows the cable bag and retrieves a pair of cables for the three a beta gimbal assembly.,948.8383,959.55246
This is in preparation for the ISS rollout solar array that will be installed in a future EVA.,960.2518600000001,966.34808
"He hooks them up on the mounting bracket Routes one on the right side and tethers it off, and then routes the one on the left side.",968.2469,979.6111000000001
Frank translates out with that cable bag and temporarily stows it on a six dress.,982.5288,987.54654
"Meanwhile, Josh climbs up onto the one bravo VGA, and drives the h fixture bolts.",992.20352,999.289
This is in preparation for installing the mod kit assembly.,1000.62808,1004.00665
"When Josh is finished at the beta gimbal assembly, he leaves and joins Frank on the truss and starts assembling the upper triangle.",1005.15488,1012.69138
They take the pieces out of the strut bag and bolt them together into a triangular pattern.,1013.6597300000001,1019.9968
"Once these pieces are put together, Josh will ingress the articulating portable foot restraint.",1024.23364,1029.8510999999999
In preparation for attaching the upper triangle to the beta gimbal assembly.,1030.41995,1035.4777
"Crank hands that triangle up to Josh, and Josh installs it with his pistol grip tool.",1037.355,1043.81204
"Once this is in place, Josh will egress the foot restraint and help Frank retrieve several of the other struts as part of the assembly.",1050.5469699999999,1059.3718
Frank will get into position and hand one end of the lower stride up to Josh and get into position to drive his bolt.,1062.07962,1070.8149
"Working together, the two crew members will install a lower strut and bolt it in place.",1073.9131,1080.10895
Frank will apply the final torque on the bolt and get into position for the mid strike.,1083.8468,1089.68332
"Again, working together, the two crew members will install the mid strike.",1090.98242,1094.88004
And drive the bolts to put it in place.,1094.92,1097.17914
"Once this is complete, the two crew members retrieve the struts or the right side of the mod kit.",1101.7166,1108.1932
They will repeat the process by installing the lower strut first and driving the bolts to torque it into place.,1109.65222,1116.06885
"The two crew members will follow that up with the right side, mid strut, working together to get it into place and driving all the bolts.",1121.3348999999998,1129.9508700000001
"Meanwhile, Josh will egress the foot restraint and retrieve the ISS rollout solar arrays that will get put in place in preparation for deployment of the ISS rollout solar rate when that arrives.",1133.4787999999999,1147.9813
"This is very similar to what Frank did earlier in the EBA, where he'll take one of the two cables and route it over to the right side.",1150.1692,1156.94604
"And tether it in place, and then he'll do the same to deploy the cable on the left side.",1157.46497,1163.80206
"Once this is done, the crew members will start collecting their gear and stowing it in the empty bags to bring back to the airlock.",1169.16766,1176.68317
Frank collects these bags.,1178.1822,1179.68164
And puts him on his body restraint tether.,1179.83997,1182.4589
"He makes his way back to the airlock and stows them inside Josh retrieves the articulating portable foot restraint, puts it on his body restraint tether and takes it back to the crew aids and tools.",1185.9969,1198.5229
Translation aid,1199.26227,1200.0
"Stows it, and then makes his way back to the airlock to complete the EVA.",1201.43928,1206.8968
Frank ingresses the airlock first followed by Josh.,1207.5962005,1210.7146
The crew will close the thermal cover and then close the hatch on the inside.,1211.29406,1215.752081
Station Houston on one for Duke.,1255.80728,1257.326523
We anticipate twelve fifth eighteen.,1257.326523,1259.074802
That's twelve one five for METOX.,1259.074802,1261.094044
Copy.,1265.31168,1265.5515599999999
Twelve fifteen for METOX.,1265.5515599999999,1266.851166
Thank you.,1267.99034,1268.3
You're looking lime inside?,1312.734825,1313.73433
"On on on on on on on EV two, Frank's TCV is now in five.",1313.73433,1320.15137
Copy.,1321.909355,1322.229195
T.,1322.229195,1322.389114
C.,1322.389114,1322.889114
V.,1327.98631,1328.48631
We're currently in a brief handover period between satellites.,1438.21931,1441.47794
You're currently looking inside the inertial space station flight control room.,1442.61713,1446.39548
And there we go.,1446.8848600000001,1447.68445
We should have those views back inside the Quail Chris Airlock for you shortly.,1447.68445,1451.58276
Station Houston on one.,1453.52153,1455.101
Stop exercise.,1456.3494,1457.20923
"If you're just joining us, the duo of Josh Cassidy and NASA's Frank Rubio will be conducting his Facebook.",1464.3942,1471.65082
Later today to assemble install brackets and struts of a modification kit for upcoming solar rate upgrades.,1473.7294,1479.8665799999999
That you are suited up and going through procedures before they head out the hatch later this morning.,1480.9748,1485.8726
"Also in the hatch, The airlock assisting is NASA astronaut Nicole man and Jackson astronaut Koichi Wakada, man serving as suit up lead.",1486.85184,1496.06613
"During today's spacewalk, Casa Norvio will focus on the installation of the 1b modification kit building and installing the upper triangle, lift and middle struts, and running the irosa cables.",1497.9344,1510.1371
This will enable the next two EVAs for the US where they install the irosus.,1512.24445,1521.0397600000001
A modification kit is the support show as needed for the future iroses or the ISS rollout solar arrays and their upgrades.,1541.47748,1549.2323999999999
And periodic you'll hear the capcom that's Megan 11s this morning called up to the crew.,1567.6018,1573.56766
She'll say either to stop or to start exercise.,1574.2670600000001,1577.4448499999999
"Again, this is a part of the pre breathe, which the crew began just over thirty minutes ago.",1578.0243,1583.20197
This activity happens before spacewalks where the crew purchased nitrogen from their bodies.,1584.94086,1591.12784
Crew is currently working to complete their pre breathing exercise which they're currently in the the suit light exercise or the aisle.,1592.46692,1602.3519999999999
This is the second of two portions of pre breathing.,1604.0696,1607.16833
"Currently in your view, Jessica, Josh, Casa over on the left side of your screen.",1608.98715,1613.88358
"He will be the EV one or extra vehicle, a crew crew member one today He's in the suit with the red stripes.",1613.88358,1622.18866
Frank Rubio will be EV two today.,1623.08798,1625.72665
He will be in the unmarked suit.,1625.72665,1627.6650399999999
This will be the first spacewalk for both as this is their first mission to the International Space Station.,1628.30472,1635.68127
"Again, the view you see here of Casa del Arubio and the quest airlock shows them completing their in suit, a light exercise protocol.",1652.82895,1659.92563
These movements help acclimate the body to the lower pressure of the suit and help astronauts purge the excess night in from their blood solely to avoid getting the bends or decompression sickness.,1660.4449,1672.41772
"At nominal pressure, the suit is pressurized to about four point three pounds per square inch or PSI.",1672.83725,1678.4635
"For a little context, the PSI here on Earth is about fourteen point seven.",1678.92303,1684.1695
So that four point three PSI in the suit is like what you would experience at an elevation of roughly thirty thousand feet.,1684.629,1692.12552
"Again, you'll see NASA astronaut Nicole Mann, injects Ashnor Koetje Ocado.",1703.11865,1708.7946
Man is the suit up lead being backed by Ocado today.,1709.454,1713.1524
Station Houston on what?,1754.4670999999998,1756.2864399999999
Stop and exercise.,1756.3861000000002,1757.3259
Station Houston on one.,1814.55258,1816.212
Start exercise.,1816.27172,1817.17152
"If you're just wondering if you're looking live inside the Quizt's airlock, you're looking at the equipment airlock section where the crew is running through some final procedures before venturing out into the vacuum of space this morning.",2024.25775,2035.7512
Where they will complete the two fifty fourth extra vehicular activity or spacewalk today.,2035.88995,2042.78676
And assembly and maintenance and upgrades for the International Space Station.,2043.20491,2048.02275
"Today, the duo will head out and they will be building building and assembly and installing brackets has stretched as a modification kit for upcoming solar array upgrades.",2048.44229,2060.2460300000002
The new ISS rollout solar arrays or irosis will increase the space station's total available power.,2061.28455,2066.78207
Station Houston.,2113.53452,2114.61395
Start the final exercise round.,2114.61395,2116.59323
You said Just checking to stop the heck of that.,2349.9299,2352.8084
Are you still doing the activation?,2352.8084,2354.3079
"And, Duke, with you on one, we were actually just about to call you to let you know you can power up hecka, first step eight of the pre breathe procedure.",2360.8532999999998,2366.35077
"Additionally, stop exercise.",2366.85986,2368.43933
Copy.,2373.91486,2374.1547
Powering off the edges.,2374.1547,2375.29443
We're gonna do this.,2378.03284,2378.95233
